,Formatted_Date,Date,Title,Explanation,Link
146,,June 22,Pan Am Flight 151,"Pan Am Flight 151, a Lockheed L-049 Constellation en route from Accra, Ghana to Monrovia, Liberia, crashed into a hill near Sanoye in Bong County, Liberia, 54 miles (86 km) from the airport; all 31 passengers and six crew members die.",https://en.wikipedia.org/wiki/Pan_Am_Flight_151
147,,June 30,United Air Lines Flight 610,"United Air Lines Flight 610, a Douglas DC-6, crashed into a mountain in Larimer County, Colorado, due to a navigational error; all 45 passengers and five crew members were killed.",https://en.wikipedia.org/wiki/United_Air_Lines_Flight_610
148,,July 21,Canadian Pacific Air Lines Flight 3505,"Canadian Pacific Air Lines Flight 3505, a Douglas DC-4, disappeared on a flight from Vancouver to Tokyo; all 37 on board are presumed dead; the aircraft has never been found.",https://en.wikipedia.org/wiki/Canadian_Pacific_Air_Lines_Flight_3505
149,,August 24,United Air Lines Flight 615,"United Air Lines Flight 615, a Douglas DC-6B, crashed near Decoto (now Union City, California), while on final approach to Oakland, California; all 44 passengers and six crew members die.",https://en.wikipedia.org/wiki/United_Air_Lines_Flight_615
153,,December 29,Continental Charters Flight 44-2,"Continental Charters Flight 44-2, a Curtiss C-46, crashed into a ridge near Napoli, New York, while en route to Buffalo, New York; three crew members and 23 passengers die.",https://en.wikipedia.org/wiki/Continental_Charters_Flight_44-2
155,,January 22,American Airlines Flight 6780,"American Airlines Flight 6780, a Convair 240, crashed on approach to Newark, New Jersey, into dwellings in Elizabeth, New Jersey, killing 30 and leading to the Doolittle Commission recommendation for laws coordinating urban zoning to keep airport approach paths clear.",https://en.wikipedia.org/wiki/American_Airlines_Flight_6780
156,,February 11,National Airlines Flight 101,"National Airlines Flight 101, a Douglas DC-6, crashed into an apartment building in Elizabeth, New Jersey, two minutes after departing Newark Airport, killing 33 people (including four residents of the building).",https://en.wikipedia.org/wiki/National_Airlines_Flight_101
158,,March 22,KLM Flight 592,"KLM Flight 592, a Douglas DC-6, crashes on approach to Ciampino Airport for reasons unknown, killing 45 of 47 on board.",https://en.wikipedia.org/wiki/KLM_Flight_592
159,,April 9,Japan Air Lines Flight 301,"Japan Air Lines Flight 301, a Martin 2-0-2 leased from Northwest Airlines and named Mokusei, struck the side of Mount Mihara, killing all 37 on board; the cause was not determined, but a navigation error was blamed.",https://en.wikipedia.org/wiki/Japan_Air_Lines_Flight_301
160,,April 11,Pan Am Flight 526A,"Pan Am Flight 526A, a Douglas DC-4, ditched in the Atlantic 11 miles (18 km) north of San Juan, Puerto Rico following double engine failure; 52 of 69 on board die.",https://en.wikipedia.org/wiki/Pan_Am_Flight_526A
161,,April 28,Pan Am Flight 202,"Pan Am Flight 202, a Boeing 377 Stratocruiser, broke up in mid-air and crashed after a possible engine separation in a remote area of Brazil on its way from Buenos Aires, Argentina, to New York City via Rio de Janeiro; all 50 on board are killed in the deadliest accident involving the Boeing 377.",https://en.wikipedia.org/wiki/Pan_Am_Flight_202
162,,June 28,American Airlines Flight 910,"American Airlines Flight 910, a Douglas DC-6 carrying 55 passengers and five crew collided with a Temco Swift private plane on final approach to Dallas Love Field; the Swift crashed, killing both occupants while the DC-6 landed safely with no injuries to the passengers or crew.",https://en.wikipedia.org/wiki/American_Airlines_Flight_910
166,,January 7,Associated Air Transport Trip 1-6-6A,"Associated Air Transport Trip 1-6-6A, a Curtiss C-46F Commando, crashed into a ravine due to wing icing and severe turbulence, killing all 40 passengers and crew.",https://en.wikipedia.org/wiki/Associated_Air_Transport_Trip_1-6-6A
168,,February 14,National Airlines Flight 470,"National Airlines Flight 470, a Douglas DC-6 en route from Tampa, Florida to New Orleans, Louisiana broke up in mid-air and crashed into the Gulf of Mexico after encountering severe turbulence, killing all 46 on board.",https://en.wikipedia.org/wiki/National_Airlines_Flight_470
169,,May 2,BOAC Flight 783,"BOAC Flight 783, a de Havilland Comet, broke up in mid-air and crashed near Calcutta, India after flying into a thunderstorm; all 43 on board die.",https://en.wikipedia.org/wiki/BOAC_Flight_783
170,,July 12,Transocean Air Lines Flight 512,"Transocean Air Lines Flight 512, a Douglas DC-6A, crashed in the Pacific Ocean while en route from Wake Island to Honolulu, Hawaii for reasons unknown, killing all 58 on board.",https://en.wikipedia.org/wiki/Transocean_Air_Lines_Flight_512
171,,August 3,Air France Flight 152,"Air France Flight 152, a Lockheed L-749A Constellation ditched in the Mediterranean Sea while en route from Rome to Beirut following engine separation. Four elderly passengers drowned.",https://en.wikipedia.org/wiki/Air_France_Flight_152
172,,September 1,Air France Flight 178,"Air France Flight 178, a Lockheed L-749 Constellation, crashed into Mont Le Cimet in southern France; all 42 on board are killed.",https://en.wikipedia.org/wiki/Air_France_Flight_178
173,,September 16,American Airlines Flight 723,"American Airlines Flight 723, a Convair 240, crashed while on approach to Albany Airport; all 28 passengers and crew die.",https://en.wikipedia.org/wiki/American_Airlines_Flight_723
175,,October 29,BCPA Flight 304,"BCPA Flight 304, a Douglas DC-6B, crashed into King's Mountain, southeast of Half Moon Bay, California, on approach to San Francisco International Airport, killing all 19 on board, including American pianist William Kapell.",https://en.wikipedia.org/wiki/BCPA_Flight_304
176,,January 10,BOAC Flight 781,"BOAC Flight 781, a de Havilland Comet flying from Rome to London on the last leg of a flight from Singapore, broke up in mid-air due to metal fatigue in the fuselage and crashed in the Mediterranean Sea off Elba, killing all 35 on board.",https://en.wikipedia.org/wiki/BOAC_Flight_781
178,,April 8,South African Airways Flight 201,"South African Airways Flight 201, a de Havilland Comet flying from Rome to Cairo bound for Johannesburg, broke up in mid-air and crashed in the Mediterranean between Naples and Stromboli, killing all 21 on board; as in BOAC Flight 781, the cause is metal fatigue at stress risers at the corners of the square windows in the aluminum skin.",https://en.wikipedia.org/wiki/South_African_Airways_Flight_201
179,,April 8,Trans-Canada Air Lines Flight 9,"Trans-Canada Air Lines Flight 9, a Canadair C-4 North Star, collided with a RCAF Harvard over Moose Jaw, Canada, killing all 37 on both aircraft.",https://en.wikipedia.org/wiki/Trans-Canada_Air_Lines_Flight_9
182,,August 23,KLM Flight 608,"KLM Flight 608, a Douglas DC-6, crashed into the North Sea for reasons unknown, killing all 21 on board.",https://en.wikipedia.org/wiki/KLM_Flight_608
183,,September 5,KLM Flight 633,"KLM Flight 633, a Lockheed L-1049 Super Constellation, ditched after takeoff from Shannon Airport in Ireland after the landing gear extended, killing 28 of 56 on board.",https://en.wikipedia.org/wiki/KLM_Flight_633
188,,February 13,Sabena Flight 503,"Sabena Flight 503, a Douglas DC-6B, crashed into Monte Terminillo, Italy in poor weather, killing all 29 on board.",https://en.wikipedia.org/wiki/Sabena_Flight_503
189,,February 19,TWA Flight 260,"TWA Flight 260, a Martin 4-0-4, crashed into the Sandia Mountains near Albuquerque, New Mexico following an unexplained deviation from the flight route, killing all 16 on board.",https://en.wikipedia.org/wiki/TWA_Flight_260
190,,March 20,American Airlines Flight 711,"American Airlines Flight 711, a Convair 240, crashed into a field on approach to Springfield-Branson Regional Airport, Missouri due to pilot error, killing 13 of 35 on board.",https://en.wikipedia.org/wiki/American_Airlines_Flight_711
191,,March 26,Pan Am Flight 845/26,"Pan Am Flight 845/26, a Boeing 377 Stratocruiser, ditched in the Pacific Ocean off the Oregon coast following engine separation, killing four of the 23 on board.",https://en.wikipedia.org/wiki/Pan_Am_Flight_845/26
193,,April 11,Kashmir Princess,"Air India Flight 300, a Lockheed L-749 Constellation named Kashmir Princess, crashed off the Natuna Islands following a bomb explosion; 16 people are killed and three survive.",https://en.wikipedia.org/wiki/Kashmir_Princess
194,,July 27,El Al Flight 402,"El Al Flight 402, a Lockheed L-049 Constellation, inadvertently strayed over Bulgarian territory on its way from Vienna to Tel Aviv and was shot down by two Bulgarian fighter aircraft, killing all 58 on board.",https://en.wikipedia.org/wiki/El_Al_Flight_402
195,,October 6,United Air Lines Flight 409,"United Air Lines Flight 409, a Douglas DC-4, crashed into Medicine Bow Peak near Centennial, Wyoming, killing all 66 on board.",https://en.wikipedia.org/wiki/United_Air_Lines_Flight_409
196,,November 1,United Air Lines Flight 629,"United Air Lines Flight 629, a Douglas DC-6B, was bombed by Jack Gilbert Graham over Longmont, Colorado; all 44 on board are killed.",https://en.wikipedia.org/wiki/United_Air_Lines_Flight_629
197,,February 18,Żurrieq Scottish Airlines crash,"In the Żurrieq Scottish Airlines crash, a Scottish Airlines Avro York crashed near Żurrieq, Malta due to pilot error, killing all 50 on board.",https://en.wikipedia.org/wiki/%C5%BBurrieq_Scottish_Airlines_crash
198,,April 1,TWA Flight 400,"TWA Flight 400, a Martin 4-0-4, crashed on takeoff at Greater Pittsburgh International Airport, killing 22 of the 36 on board; 14 survive.",https://en.wikipedia.org/wiki/TWA_Flight_400
199,,April 2,Northwest Orient Airlines Flight 2,"Northwest Orient Airlines Flight 2, a Boeing 377 Stratocruiser, ditched into Puget Sound after takeoff from Seattle",https://en.wikipedia.org/wiki/Northwest_Orient_Airlines_Flight_2
203,,July 9,Trans-Canada Air Lines Flight 304,"Trans-Canada Air Lines Flight 304, a Vickers Viscount, shedded a propeller blade over Flat Rock, Michigan; the blade penetrates the passenger cabin, killing one of 35 aboard; this is the first known case of a turboprop shedding a blade in passenger service.",https://en.wikipedia.org/wiki/Trans-Canada_Air_Lines_Flight_304
204,,October 16,Pan Am Flight 6,"Pan Am Flight 6, a Boeing 377 Stratocruiser, ditched in the Pacific Ocean between Hawai'i and San Francisco following double engine failure; all 31 on board are rescued by a nearby United States Coast Guard ship.",https://en.wikipedia.org/wiki/Pan_Am_Flight_6
205,,November 7,Braathens SAFE Flight 253,"Braathens SAFE Flight 253, a de Havilland Heron, crashed into Hummelfjell mountain near Tolga, Norway, killing two of 12 on board.",https://en.wikipedia.org/wiki/Braathens_SAFE_Flight_253
207,,December 9,Trans-Canada Air Lines Flight 810,"Trans-Canada Air Lines Flight 810, a Canadair North Star, crashed near Hope, British Columbia, Canada, killing all 62 people on board; the wreckage is located several months later. Aboard are four members of the Canadian Football League Saskatchewan Roughriders, and former Iowa Hawkeye Outland Trophy winner Cal Jones.",https://en.wikipedia.org/wiki/Trans-Canada_Air_Lines_Flight_810
208,,February 1,Northeast Airlines Flight 823,"Northeast Airlines Flight 823, a Douglas DC-6, crashed during a snowstorm shortly after takeoff from LaGuardia Airport; 20 of the 101 occupants die.",https://en.wikipedia.org/wiki/Northeast_Airlines_Flight_823
209,,March 14,British European Airways Flight 411,"British European Airways Flight 411, a Vickers Viscount, crashed while on approach to Manchester Airport, killing all 20 on board and two on the ground.",https://en.wikipedia.org/wiki/British_European_Airways_Flight_411
211,,July 16,KLM Flight 844,"KLM Flight 844, a Lockheed Super Constellation, crashed after takeoff from Biak-Mokmer Airport, Indonesia, killing 58 of 68 on board.",https://en.wikipedia.org/wiki/KLM_Flight_844
212,,August 11,Maritime Central Airways Flight 315,"Maritime Central Airways Flight 315, a Douglas DC-4, crashed near Issoudun, Quebec after encountering turbulence in a thunderstorm, killing all 79 passengers and crew on board.",https://en.wikipedia.org/wiki/Maritime_Central_Airways_Flight_315
214,,September 15,Northeast Airlines Flight 285,"Northeast Airlines Flight 285, a Douglas DC-3, crashed on approach to New Bedford Regional Airport following a premature descent due to pilot error, killing 12 of 24 on board.",https://en.wikipedia.org/wiki/Northeast_Airlines_Flight_285
215,,November 8,Pan Am Flight 7,"Pan Am Flight 7, a Boeing 377 Stratocruiser, disappeared between San Francisco and Honolulu; small pieces of wreckage and human remains are found almost a week later by the United States Navy; all 44 on board are believed to have been killed.",https://en.wikipedia.org/wiki/Pan_Am_Flight_7
217,,February 6,Munich air disaster,"In the Munich air disaster, a British European Airways Airspeed Ambassador operating as Flight 609 crashed while attempting a take off in a snowstorm from Munich-Riem Airport, killing 23 of 44 passenger and crew members on board including eight Manchester United footballers.",https://en.wikipedia.org/wiki/Munich_air_disaster
218,,February 27,Winter Hill air disaster,"In the Winter Hill air disaster, a Silver City Airways Bristol 170 Freighter traveling from the Isle of Man to Manchester Ringway Airport crashed into Winter Hill, Lancashire, killing 35 people and injuring seven.",https://en.wikipedia.org/wiki/Winter_Hill_air_disaster
219,,April 6,Capital Airlines Flight 67,"Capital Airlines Flight 67, a Vickers 745D Viscount, crashed at Tri-City Airport (now MBS International Airport) near Freeland, Michigan, killing all 47 passengers and crew; an undiscovered ice buildup on the wing and windy conditions are possible causes.",https://en.wikipedia.org/wiki/Capital_Airlines_Flight_67
220,,April 21,United Airlines Flight 736,"United Airlines Flight 736, a Douglas DC-7, collides with a US Air Force F-100 Super Sabre fighter on a training mission near Las Vegas. All 47 aboard the airliner and both F-100 crew members are killed.",https://en.wikipedia.org/wiki/United_Airlines_Flight_736
221,,May 20,Capital Airlines Flight 300,"Capital Airlines Flight 300, a Vickers Viscount, collided with a USAF T-33, killing all 13 on board the Viscount and one of two on board the T-33; the T-33s pilot parachuted to the ground and survived.",https://en.wikipedia.org/wiki/Capital_Airlines_Flight_300
223,,August 9,Central African Airways Flight 890,"Central African Airways Flight 890, a Vickers Viscount, crashes due to pilot error near Benina International Airport, Libya.  Of the 54 on board, 36 are killed.",https://en.wikipedia.org/wiki/Central_African_Airways_Flight_890
224,,August 14,KLM Flight 607-E,"KLM Flight 607-E, a Lockheed L-1049 Super Constellation (named Hugo de Groot) en route from Amsterdam to New York, crashed in the Atlantic Ocean shortly after takeoff from Shannon Airport in Ireland, killing all 99 passengers and crew, including six members of the Egyptian fencing team.",https://en.wikipedia.org/wiki/KLM_Flight_607-E
225,,August 15,Aeroflot Flight 04,"Aeroflot Flight 04, a Tupolev Tu-104, crashed after stalling in an updraft, killing all 64 people on board.",https://en.wikipedia.org/wiki/Aeroflot_Flight_04
226,,August 15,Northeast Airlines Flight 258,"Northeast Airlines Flight 258, a Convair 240, crashed near Nantucket International Airport due to pilot error, killing 25 of 34 on board.",https://en.wikipedia.org/wiki/Northeast_Airlines_Flight_258
228,,September 5,Aeroflot Flight 365,"Aeroflot Flight 365, an Avia 14P, was hijacked mid-air by a passenger who demanded to talk to the pilot. The aircraft landed at Jõhvi in flames after the hijacker's bomb started a fire; all 17 on board escaped the burning aircraft except the hijacker, who died when the aircraft burned out.",https://en.wikipedia.org/wiki/Aeroflot_Flight_365
230,,October 22,British European Airways Flight 142,"British European Airways Flight 142, a Vickers Viscount, collided with an Italian Air Force North American F-86 Sabre over Italy, all 31 on board die.",https://en.wikipedia.org/wiki/British_European_Airways_Flight_142
233,,January 8,Southeast Airlines Flight 308,"Southeast Airlines Flight 308, a Douglas DC-3A, crashed into the Holston Mountain range, Tennessee, on approach to the Tri-Cities Regional Airport, killing all 10 people on board.",https://en.wikipedia.org/wiki/Southeast_Airlines_Flight_308
234,,January 11,Lufthansa Flight 502,"Lufthansa Flight 502, a Lockheed L-1049 Super Constellation, crashed on approach to Rio de Janeiro",https://en.wikipedia.org/wiki/Lufthansa_Flight_502
235,,January 16,Austral Líneas Aéreas Flight 205,"Austral Líneas Aéreas Flight 205, a Curtiss C-46 Commando, crashed after a missed approach to Mar Del Plata Airport in Argentina, killing 51 of the 52 people on board.",https://en.wikipedia.org/wiki/Austral_L%C3%ADneas_A%C3%A9reas_Flight_205
236,,February 3,American Airlines Flight 320,"American Airlines Flight 320, a Lockheed L-188 Super Electra, crashed into the East River, New York City, as a result of pilot error; 65 passengers and crew are killed.",https://en.wikipedia.org/wiki/American_Airlines_Flight_320
237,,February 3,Pan Am Flight 115,"Pan Am Flight 115, a Boeing 707 with 119 people on board experienced an unplanned emergency descent from 35,000 ft to 6,000 ft. The crew manage to regain control and make an emergency landing in Gander, Canada.",https://en.wikipedia.org/wiki/Pan_Am_Flight_115
240,,May 12,Capital Airlines Flight 75,"Capital Airlines Flight 75, a Vickers Viscount 745D flying from New York City to Atlanta, broke up in flight over Chase, Maryland, due to loss of control in severe turbulence; all 31 on board are killed.",https://en.wikipedia.org/wiki/Capital_Airlines_Flight_75
241,,June 26,TWA Flight 891,"TWA Flight 891, a Lockheed Starliner, broke up in mid-air and crashed near Marnate after it was struck by lightning; all 68 passengers and crew on board are killed.",https://en.wikipedia.org/wiki/TWA_Flight_891
242,,August 15,American Airlines Flight 514,"American Airlines Flight 514, a Boeing 707 crashed near Calverton-Peconic River Airport, New York after a loss of control. All five crew members are killed in the first crash involving a Boeing 707.",https://en.wikipedia.org/wiki/American_Airlines_Flight_514
244,,September 24,TAI Flight 307,"TAI Flight 307, a Douglas DC-7, crashed into a pine forest on departure from Mérignac Airport, France; 54 of the 65 people on board are killed.",https://en.wikipedia.org/wiki/TAI_Flight_307
245,,September 29,Braniff Flight 542,"Braniff Flight 542, a Lockheed L-188 Electra, broke up in mid-air and crashed 4 miles (6.4 km) from Buffalo, Texas; all 34 on board die.",https://en.wikipedia.org/wiki/Braniff_Flight_542
246,,October 30,Piedmont Airlines Flight 349,"Piedmont Airlines Flight 349, a Douglas DC-3, crashed on Bucks Elbow Mountain near Charlottesville, Virginia, killing the crew of three and 23 of 24 passengers; the sole survivor was seriously injured; the cause is a navigational error during an Instrument Landing System approach.",https://en.wikipedia.org/wiki/Piedmont_Airlines_Flight_349
247,,November 16,National Airlines Flight 967,"National Airlines Flight 967, a Douglas DC-7B, exploded in mid-air for reasons unknown and crashed into the Gulf of Mexico while on a flight from Tampa, Florida, to New Orleans, Louisiana; all 40 on board die.",https://en.wikipedia.org/wiki/National_Airlines_Flight_967
249,,November 21,Ariana Afghan Airlines Flight 202,"Ariana Afghan Airlines Flight 202, a Douglas DC-4, crashed into a hillside near Beirut shortly after takeoff, killing 24 of 27 on board.",https://en.wikipedia.org/wiki/Ariana_Afghan_Airlines_Flight_202
250,,December 1,Allegheny Airlines Flight 371,"Allegheny Airlines Flight 371, a Martin 2-0-2 crashed on approach into Williamsport Regional Airport, Pennsylvania. Only one passenger survives out of the 26 passengers and crew on board.",https://en.wikipedia.org/wiki/Allegheny_Airlines_Flight_371
251,,December 13,Aeroflot Flight 120,"Aeroflot Flight 120, an Ilyushin Il-14, crashed in the Baysuntau mountain range, Uzbekistan, after the pilot deviates from the flight route; all 30 on board die.",https://en.wikipedia.org/wiki/Aeroflot_Flight_120
252,,January 6,National Airlines Flight 2511,"National Airlines Flight 2511, a Douglas DC-6B bound from New York to Miami, exploded in mid-air and crashed near Bolivia, North Carolina following a possible bomb explosion; all 34 people on board are killed.",https://en.wikipedia.org/wiki/National_Airlines_Flight_2511
253,,January 18,Capital Airlines Flight 20,"Capital Airlines Flight 20, a Vickers Viscount, en route from Washington National Airport to Norfolk International Airport crashed near Holdcroft, Virginia due to engine failure caused by icing; all 50 on board are killed.",https://en.wikipedia.org/wiki/Capital_Airlines_Flight_20
254,,January 19,Scandinavian Airlines System Flight 871,"Scandinavian Airlines System Flight 871, a Sud Aviation Caravelle, crashed while on approach to Esenboğa Airport, Ankara, Turkey, following an unexplained descent, killing all 42 on board in the first fatal crash of the Caravelle.",https://en.wikipedia.org/wiki/Scandinavian_Airlines_System_Flight_871
255,,January 21,Avianca Flight 671,"Avianca Flight 671, a Lockheed L-1049E Constellation, crashed on landing at Sangster International Airport, Jamaica following a heavy landing, killing two of the seven crew and 35 of 39 passengers on board in Jamaica's worst aviation accident.",https://en.wikipedia.org/wiki/Avianca_Flight_671
259,,February 26,Alitalia Flight 618,"Alitalia Flight 618, a Douglas DC-7C, crashed shortly after takeoff from Shannon Airport for reasons unknown, killing 34 of 52 on board.",https://en.wikipedia.org/wiki/Alitalia_Flight_618
260,,March 17,Northwest Orient Airlines Flight 710,"Northwest Orient Airlines Flight 710, a Lockheed L-188 Super Electra en route from Chicago to Miami, Florida, broke up in mid-air at 15,000 feet (4,600 m) and crashed near Tell City, Indiana, killing all 63 on board.",https://en.wikipedia.org/wiki/Northwest_Orient_Airlines_Flight_710
261,,June 10,Trans Australia Airlines Flight 538,"Trans Australia Airlines Flight 538, a Fokker F-27, crashed into the ocean near Mackay, Queensland, Australia for reasons unknown, killing all 29 on board in Australia's worst civilian air disaster. This crash was responsible for the mandatory installation of cockpit voice recorders in airliners in Australia.",https://en.wikipedia.org/wiki/Trans_Australia_Airlines_Flight_538
262,,June 10,Aeroflot Flight 207,"Aeroflot Flight 207, an Ilyushin Il-14, crashed into a mountain near Tkvarcheli, Georgia after the crew deviated from the flight route; all 31 on board die.",https://en.wikipedia.org/wiki/Aeroflot_Flight_207
263,,July 14,Northwest Orient Airlines Flight 1-11,"Northwest Orient Airlines Flight 1-11, a Douglas DC-7C, ditched off Polillo Island, Philippines following an engine failure and in-flight fire; one passenger was killed when the number two propeller slashed through the fuselage.",https://en.wikipedia.org/wiki/Northwest_Orient_Airlines_Flight_1-11
264,,July 15,Ethiopian Air Lines Flight 372,"Ethiopian Air Lines Flight 372, a Douglas C-47 Skytrain, crashed into a mountain near Jimma, Ethiopia due to pilot error, killing one of the pilots.",https://en.wikipedia.org/wiki/Ethiopian_Air_Lines_Flight_372
266,,August 29,Air France Flight 343,"Air France Flight 343, a Lockheed L-1049G Super Constellation, crashed in the Atlantic Ocean off Dakar, Senegal for reasons unknown following an aborted landing, killing all 63 on board.",https://en.wikipedia.org/wiki/Air_France_Flight_343
267,,September 19,World Airways Flight 830,"World Airways Flight 830, a Douglas DC-6, struck Mount Barrigada, Guam due to pilot error, killing 80 of 94 on board.",https://en.wikipedia.org/wiki/World_Airways_Flight_830
268,,September 26,Austrian Airlines Flight 901,"Austrian Airlines Flight 901, a Vickers Viscount, crashed short of runway 07 at Sheremetyevo International Airport. 31 of the 37 passengers and crew on board are killed.",https://en.wikipedia.org/wiki/Austrian_Airlines_Flight_901
269,,October 4,Eastern Air Lines Flight 375,"Eastern Air Lines Flight 375, a Lockheed L-188 Super Electra, crashed on takeoff from Boston's Logan International Airport into Winthrop Bay, after multiple bird strikes; 62 of 72 aboard die.",https://en.wikipedia.org/wiki/Eastern_Air_Lines_Flight_375
270,,October 29,Cal Poly football team plane crash,"The Cal Poly football team plane crash: a chartered Curtiss C-46 crashed on takeoff at the Toledo Express Airport in Toledo, Ohio, with the loss of 22 people including 16 players on the California Polytechnic State University football team.",https://en.wikipedia.org/wiki/Cal_Poly_football_team_plane_crash
271,,November 23,Philippine Air Lines Flight S26,"Philippine Air Lines Flight S26, a Douglas DC-3C, struck the slope of Mount Baco due to a possible navigation error; all 33 on board die.",https://en.wikipedia.org/wiki/Philippine_Air_Lines_Flight_S26
273,,December 22,Philippine Airlines Flight S85,"Philippine Airlines Flight S85, a Douglas DC-3C, crashed shortly after takeoff due to loss of control following engine failure, killing 28 of 37 on board.",https://en.wikipedia.org/wiki/Philippine_Airlines_Flight_S85
274,,January 3,Aero Flight 311,"Aero Flight 311, a Douglas DC-3, crashed into woods near Kvevlax, Finland due to pilot error, killing all 25 on board. Both pilots were drunk.",https://en.wikipedia.org/wiki/Aero_Flight_311
275,,January 28,American Airlines Flight 1502,"American Airlines Flight 1502, a Boeing 707, crashed into the sea off Montauk Point, New York during a training flight following a loss of control. All six crew members on board are killed.",https://en.wikipedia.org/wiki/American_Airlines_Flight_1502
276,,February 3,Garuda Indonesian Airways Flight 542,"Garuda Indonesian Airways Flight 542, a Douglas DC-3, disappeared off Madura Island, Indonesia with 26 on board.",https://en.wikipedia.org/wiki/Garuda_Indonesian_Airways_Flight_542
277,,February 15,Sabena Flight 548,"Sabena Flight 548, a Boeing 707, crashed on approach in Brussels, Belgium, killing 73, including the entire United States figure skating team: a runaway stabilizer was thought to have been the cause of the first fatal accident involving a 707 in regular passenger service.",https://en.wikipedia.org/wiki/Sabena_Flight_548
278,,March 16,Aeroflot Flight 068,"Aeroflot Flight 068, a Tupolev Tu-104, crashed shortly after takeoff from Koltsovo Airport following engine failure, killing five of 51 on board; two people on the ground also die when the aircraft hits a house.",https://en.wikipedia.org/wiki/Aeroflot_Flight_068
281,,May 10,Air France Flight 406,"Air France Flight 406, a Lockheed Starliner, broke up in mid-air and crashed into the Sahara Desert near the Edjele oilfield in Algeria following a possible bomb explosion, killing all 78 on board.",https://en.wikipedia.org/wiki/Air_France_Flight_406
282,,May 30,Viasa Flight 897,"Viasa Flight 897, a Douglas DC-8, crashed shortly after taking off from Lisbon Portela Airport. All 61 passengers and crew on board are killed.",https://en.wikipedia.org/wiki/Viasa_Flight_897
283,,June 12,KLM Flight 823,"KLM Flight 823, a Lockheed L-188 Electra, crashed while on approach to Cairo International Airport due to pilot error; 20 of 36 on board die.",https://en.wikipedia.org/wiki/KLM_Flight_823
284,,July 11,United Airlines Flight 859,"United Airlines Flight 859, a Douglas DC-8, crashed on landing at Stapleton International Airport, killing 17 passengers and one person on the ground.",https://en.wikipedia.org/wiki/United_Airlines_Flight_859
286,,July 19,Aerolíneas Argentinas Flight 644,"Aerolíneas Argentinas Flight 644, a Douglas DC-6, broke up and crashed 12 miles west of Pardo, Buenos Aires, Argentina after encountering severe turbulence shortly after takeoff. All 67 passengers and crew on board are killed.",https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas_Flight_644
287,,July 21,Alaska Airlines Flight 779,"Alaska Airlines Flight 779, a Douglas DC-6A on a military contract flight crashed short of the runway at Shemya Air Force Base, Alaska. All six crew members are killed.",https://en.wikipedia.org/wiki/Alaska_Airlines_Flight_779
289,,August 9,Holtaheia Accident,"The Holtaheia Accident: An Eagle Airways Vickers VC.1 Viking crashed at Holta, Strand, Norway, killing all 39 on board, including 36 people from the Archbishop Lanfranc School.",https://en.wikipedia.org/wiki/Holtaheia_Accident
290,,September 1,TWA Flight 529,"TWA Flight 529, a Lockheed Constellation L-049 propliner, abruptly pitched up and crashed shortly after takeoff from Chicago's Midway Airport, killing all 73 passengers and five crew on board; a 5/16 inch bolt that fell out of the elevator control linkage just before the crash is blamed.",https://en.wikipedia.org/wiki/TWA_Flight_529
293,,September 17,Northwest Orient Airlines Flight 706,"Northwest Orient Airlines Flight 706, a Lockheed L-188 Electra, crashes on takeoff from Chicago as a result of a maintenance error causing the ailerons to become detached from the control wheels; all 37 on board die.",https://en.wikipedia.org/wiki/Northwest_Orient_Airlines_Flight_706
295,,September 23,Turkish Airlines Flight 835,"Turkish Airlines Flight 835, a Fokker F27 Friendship crashed while on approach to Esenboğa Airport; of the 29 on board, only a passenger survived.",https://en.wikipedia.org/wiki/Turkish_Airlines_Flight_835
297,,November 8,Imperial Airlines Flight 201/8,"Imperial Airlines Flight 201/8, a Lockheed Constellation L-049, crashed on landing at Byrd Field near Richmond, Virginia; all 74 passengers—mostly new US Army recruits being flown to their base for training—die of carbon monoxide asphyxiation, along with three crew members; the captain and flight engineer survive by escaping the burning wreckage.",https://en.wikipedia.org/wiki/Imperial_Airlines_Flight_201/8
298,,November 23,Aerolíneas Argentinas Flight 322,"Aerolíneas Argentinas Flight 322, a de Havilland Comet, crashed at Campinas, Brazil shortly after takeoff due to pilot error, killing all 52 on board.",https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas_Flight_322
300,,December 17,Aeroflot Flight 245,"Aeroflot Flight 245, an Ilyushin Il-18, entered a nosedive and crashes near Chebotovka, Russia, after the pilot deployed the flaps by mistake, killing all 59 on board.",https://en.wikipedia.org/wiki/Aeroflot_Flight_245
303,,March 4,Caledonian Airways Flight 153,"Caledonian Airways Flight 153, a Douglas DC-7 operating a non-scheduled multi-leg flight out of Luxembourg, crashed into a jungle swamp at Douala, Cameroon for reasons unknown, killing all 111 on board.",https://en.wikipedia.org/wiki/Caledonian_Airways_Flight_153
305,,March 16,Flying Tiger Line Flight 739,"Flying Tiger Line Flight 739, a Lockheed L-1049 Super Constellation chartered by the United States military to transport 96 American soldiers to South Vietnam, disappears over the western Pacific.",https://en.wikipedia.org/wiki/Flying_Tiger_Line_Flight_739
